0472: Einst_SuBwTG_zeit_3_6 
0473: Einst_SuBwTG_zeit_3_7 
0474: Einst_SuBwTG_zeit_4_6 
0475: Einst_SuBwTG_zeit_4_7 
0476: Einst_SuBwTG_zeit_0_8 
0477: Einst_SuBwTG_zeit_0_9 
0478: Einst_SuBwTG_zeit_1_8 
0479: Einst_SuBwTG_zeit_1_9 
0480: Einst_SuBwTG_zeit_2_8 
0481: Einst_SuBwTG_zeit_2_9 
0482: Einst_SuBwTG_zeit_3_8 
0483: Einst_SuBwTG_zeit_3_9 
0484: Einst_SuBwTG_zeit_4_8 
0485: Einst_SuBwTG_zeit_4_9 
0486: Einst_SuBwTG_zeit_0_10 
0487: Einst_SuBwTG_zeit_0_11 
0488: Einst_SuBwTG_zeit_1_10 
0489: Einst_SuBwTG_zeit_1_11 
0490: Einst_SuBwTG_zeit_2_10 
0491: Einst_SuBwTG_zeit_2_11 
0492: Einst_SuBwTG_zeit_3_10 
0493: Einst_SuBwTG_zeit_3_11 
0494: Einst_SuBwTG_zeit_4_10 
0495: Einst_SuBwTG_zeit_4_11 
0496: Einst_SuBwTG_zeit_0_12 
0497: Einst_SuBwTG_zeit_0_13 
0498: Einst_SuBwTG_zeit_1_12 
0499: Einst_SuBwTG_zeit_1_13 
0500: Einst_SuBwTG_zeit_2_12 
0501: Einst_SuBwTG_zeit_2_13 
0502: Einst_SuBwTG_zeit_3_12 
0503: Einst_SuBwTG_zeit_3_13 
0504: Einst_SuBwTG_zeit_4_12 
0505: Einst_SuBwTG_zeit_4_13 
0506: Einst_SuZIP_akt 
0507: Einst_SuZIPWo_zeit_0_0 
0508: Einst_SuZIPWo_zeit_0_1 
0509: Einst_SuZIPWo_zeit_1_0 
0510: Einst_SuZIPWo_zeit_1_1 
0511: Einst_SuZIPWo_zeit_2_0 
0512: Einst_SuZIPWo_zeit_2_1 
0513: Einst_SuZIPWo_zeit_3_0 
0514: Einst_SuZIPWo_zeit_3_1 
0515: Einst_SuZIPWo_zeit_4_0 
0516: Einst_SuZIPWo_zeit_4_1 
0517: Einst_SuZIP25_zeit_0_0 
0518: Einst_SuZIP25_zeit_0_1 
0519: Einst_SuZIP25_zeit_1_0 
0520: Einst_SuZIP25_zeit_1_1 
0521: Einst_SuZIP25_zeit_2_0 
0522: Einst_SuZIP25_zeit_2_1 
0523: Einst_SuZIP25_zeit_3_0 
0524: Einst_SuZIP25_zeit_3_1 
0525: Einst_SuZIP25_zeit_4_0 
0526: Einst_SuZIP25_zeit_4_1 
0527: Einst_SuZIP25_zeit_0_2 
0528: Einst_SuZIP25_zeit_0_3 
0529: Einst_SuZIP25_zeit_1_2 
0530: Einst_SuZIP25_zeit_1_3 
0531: Einst_SuZIP25_zeit_2_2 
0532: Einst_SuZIP25_zeit_2_3 
0533: Einst_SuZIP25_zeit_3_2 
0534: Einst_SuZIP25_zeit_3_3 
0535: Einst_SuZIP25_zeit_4_2 
0536: Einst_SuZIP25_zeit_4_3 
0537: Einst_SuZIPTg_zeit_0_0 
0538: Einst_SuZIPTg_zeit_0_1 
0539: Einst_SuZIPTg_zeit_1_0 
0540: Einst_SuZIPTg_zeit_1_1 
0541: Einst_SuZIPTg_zeit_2_0 
0542: Einst_SuZIPTg_zeit_2_1 
0543: Einst_SuZIPTg_zeit_3_0 
0544: Einst_SuZIPTg_zeit_3_1 
0545: Einst_SuZIPTg_zeit_4_0 
0546: Einst_SuZIPTg_zeit_4_1 
0547: Einst_SuZIPTg_zeit_0_2 
0548: Einst_SuZIPTg_zeit_0_3 
0549: Einst_SuZIPTg_zeit_1_2 
0550: Einst_SuZIPTg_zeit_1_3 
0551: Einst_SuZIPTg_zeit_2_2 
0552: Einst_SuZIPTg_zeit_2_3 
0553: Einst_SuZIPTg_zeit_3_2 
0554: Einst_SuZIPTg_zeit_3_3 
0555: Einst_SuZIPTg_zeit_4_2 
0556: Einst_SuZIPTg_zeit_4_3 
0557: Einst_SuZIPTg_zeit_0_4 
0558: Einst_SuZIPTg_zeit_0_5 
0559: Einst_SuZIPTg_zeit_1_4 
0560: Einst_SuZIPTg_zeit_1_5 
0561: Einst_SuZIPTg_zeit_2_4 
